CID,Name,SMILES,AIDs,fr_NH0,fr_NH1,fr_NH2,fr_all_N
118785,1-propylimidazole,CCCN1C=CN=C1,"[69197, 69601, 162932, 164233, 206851, 207688]",2,0,0,2
4,1-aminopropan-2-ol,CC(CN)O,"[155, 157, 161, 165, 167, 175, 1188, 23443, 158688, 651631, 651632, 651633, 651634, 720516, 720552, 720634, 720635, 720637, 720674, 720675, 720678, 720679, 720680, 720681, 720682, 720683, 720684, 720685, 720686, 720687, 720691, 720692, 720693, 720719, 720725, 743012, 743014, 743015, 743033, 743035, 743036, 743040, 743041, 743042, 743053, 743054, 743063, 743064, 743065, 743066, 743067, 743069, 743074, 743075, 743077, 743078, 743079, 743080, 743081, 743083, 743084, 743085, 743086, 743091, 743094, 743122, 743139, 743140, 743191, 743194, 743199, 743202, 743203, 743209, 743210, 743211, 743212, 743213, 743215, 743217, 743218, 743219, 743220, 743221, 743222, 743223, 743224, 743225, 743226, 743227, 743228, 743239, 743240, 743241, 743242, 1159509, 1159515, 1159516, 1159517, 1159518, 1159519, 1159520, 1159521, 1159523, 1159525, 1159526, 1159527, 1159528, 1159529, 1159531, 1159551, 1159552, 1159553, 1159555, 1224834, 1224835, 1224836, 1224837, 1224838, 1224839, 1224840, 1224841, 1224842, 1224843, 1224844, 1224845, 1224846, 1224847, 1224848, 1224849, 1224867, 1224868, 1224869, 1224870, 1224871, 1224872, 1224873, 1224874, 1224875, 1224876, 1224877, 1224878, 1224879, 1224880, 1224881, 1224882, 1224883, 1224884, 1224885, 1224886, 1224887, 1224888, 1224889, 1224890, 1224892, 1224893, 1224894, 1224895, 1224896, 1259241, 1259242, 1259243, 1259244, 1259247, 1259248, 1259364, 1259365, 1259366, 1259367, 1259368, 1259369, 1259377, 1259378, 1259379, 1259380, 1259381, 1259382, 1259383, 1259384, 1259385, 1259386, 1259387, 1259388, 1259390, 1259391, 1259392, 1259393, 1259394, 1259395, 1259396, 1259401, 1259402, 1259403, 1259404, 1259407, 1346784, 1346795, 1346798, 1346799, 1346824, 1346829, 1346859, 1346877, 1346891, 1346924, 1346977, 1346978, 1346979, 1346980, 1346981, 1346982, 1347030, 1347031, 1347032, 1347033, 1347034, 1347035, 1347036, 1347037, 1347038, 1347395, 1347397, 1347398, 1347399, 1671196, 1671197, 1671198, 1671199, 1671200, 1671201]",0,0,1,1
323593,"4-bromobenzene-1,2-diamine",C1=CC(=C(C=C1Br)N)N,[330],0,0,2,2
2734101,"2-(2,6-dichlorophenyl)ethanamine",C1=CC(=C(C(=C1)Cl)CCN)Cl,"[341210, 341211, 1508601, 1645838]",0,0,1,1
485400,1-(4-bromophenyl)-N-methylmethanamine,CNCC1=CC=C(C=C1)Br,"[485350, 485395, 493033, 504770, 540299, 588519, 720641, 1589018]",0,1,0,1
12315,N-methylpropan-1-amine,CCCNC,[248],0,1,0,1
19017761,6-fluoro-1H-benzimidazol-2-amine,C1=CC2=C(C=C1F)NC(=N2)N,[977611],1,1,1,3
485432,"(2,6-dichlorophenyl)methanamine",C1=CC(=C(C(=C1)Cl)CN)Cl,[225081],0,0,1,1
485436,"1-(3,4-dichlorophenyl)-N-methylmethanamine",CNCC1=CC(=C(C=C1)Cl)Cl,"[485350, 485395, 493033, 504770, 540299, 588519, 720554, 720641, 1392845]",0,1,0,1
73388104,3-(diaminomethylidene)-1-methyl-1-(111C)methylguanidine,CN(C)C(=N)N=C(N)N,"[1058867, 1058868, 1058869, 1058870, 1058871, 1058872, 1058873, 1058874, 1058875, 1058876, 1058877, 1058878, 1058879, 1058880, 1058881, 1058882, 1058883, 1058884, 1058885, 1058886, 1058887, 1058888, 1058889, 1058890, 1058891, 1058892, 1058893, 1058894, 1058895, 1058896, 1058897, 1058898, 1058899, 1058900, 1058901, 1058902, 1058903, 1058904, 1058905, 1058906, 1058907, 1058908, 1058909, 1058910, 1058911, 1058912, 1058913, 1058914, 1058915, 1058916, 1058917, 1058918, 1058919, 1058920, 1058921, 1058922, 1058923, 1058924, 1058925, 1058926, 1058927, 1058928, 1058929, 1058930, 1058931, 1058932, 1058933, 1058934, 1058935, 1058936, 1058937, 1058938, 1058939, 1058940, 1058941, 1058942, 1058943, 1058944, 1058945, 1058946, 1058947, 1058948, 1058949, 1058950, 1058951, 1058952, 1058953, 1058958, 1058959, 1058960, 1058961, 1058962, 1058963]",2,1,2,5
