CID,Name,Class_1,Class_2,Ammonium_CID,Ammonium_name
222,ammonia,linear,monoammonium,223,Ammonium
6329,methylamine,linear,monoammonium,644041,Methylammonium
6341,ethylamine,linear,monoammonium,3427831,Ethylammonium
7852,propylamine,linear,monoammonium,3483736,Propylammonium
8007,butylamine,linear,monoammonium,3614750,Butylammonium
8060,pentylamine,linear,monoammonium,3927698,Pentylammonium
8102,hexylamine,linear,monoammonium,6992045,Hexylammonium
8127,heptylamine,linear,monoammonium,15839333,Heptylammonium
8143,octylamine,linear,monoammonium,3691730,Octylammonium
16215,nonylamine,linear,monoammonium,21976041,Nonylammonium
8916,decylamine,linear,monoammonium,5155513,Decylammonium
13583,dodecylamine,linear,monoammonium,3390094,n-dodecylammonium
16217,tetradecylamine,linear,monoammonium,15687967,Tetradecylaminium
8926,hexadecylamine,linear,monoammonium,3701362,hexadecylaminium
15793,octadecylamine,linear,monoammonium,3956611,octadecylammonium
6363,isopropylamine,linear-branch,monoammonium,3364502,isopropylammonium
24874,2-butylamine,linear-branch,monoammonium,5247073,Butan-2-ylazanium
6558,isobutylamine,linear-branch,monoammonium,3041751,Isobutylammonium
5603,1-methylhexylamine,linear-branch,monoammonium,22068094,1-Methylhexane-1-aminium
7719,2-ethylhexylamine,linear-branch,monoammonium,21938816,2-Ethylhexylazanium
7853,allylamine,linear-unsat,monoammonium,5153084,Prop-2-enylazanium
10034574,1-amino-3-butyne,linear-unsat,monoammonium,51668979,But-3-ynylazanium
155569865,"deca-3,5-diyn-1-amine",linear-unsat,monoammonium,-1,"Deca-3,5-diyn-1-ammonium"
674,dimethylamine,linear-N,monoammonium,3614769,dimethylammonium
1146,trimethylamine,linear-N,monoammonium,3782034,trimethylammonium
9321,hydrazine,linear-N,monoammonium,87681,hydrazinium
6061,methylhydrazine,linear-N,monoammonium,21718326,Methylhydrazinium
67171,acetamidine,linear-N-unsat,monoammonium,67171,Acetamidinium
1647,2-cyanoethylamine,linear-N-unsat,monoammonium,6992017,2-cyanoethylammonium
3520,guanidine,linear-N-unsat,monoammonium,32838,Guanidinium
68047,formamidine,linear-N-unsat,monoammonium,59979088,Iminomethanaminium
5142,s-methylisothiourea,linear-N-unsat-S,monoammonium,4553576,2-methylthiuronium
239,3-aminopropanoic acid,linear-heteroatom-COOH,monoammonium,5105983,2-Carboxyethylazanium
119,4-aminobutyric acid,linear-heteroatom-COOH,monoammonium,449579,3-Carboxypropylammonium
138,5-aminopentanoic acid,linear-heteroatom-COOH,monoammonium,449593,4-Carboxybutylammonium
787,hydroxylamine,linear-heteroatom-OH,monoammonium,933,hydroxylammonium
700,ethanolamine,linear-heteroatom-OH,monoammonium,444693,2-aminoethanol protonated
9086,propanolamine,linear-heteroatom-OH,monoammonium,1551059,3-aminopropanol protonated
25868,4-aminobutanol,linear-heteroatom-OH,monoammonium,448524,4-hydroxybutylammonium
75634,5-amino-1-pentanol,linear-heteroatom-OH,monoammonium,6997165,5-hydroxypentylammonium
19960,6-aminohexanol,linear-heteroatom-OH,monoammonium,6992902,6-hydroxyhexylammonium
13306451,2-iodoethanamine,linear-heteroatom-I,monoammonium,140862874,2-iodoethylammonium
21194665,3-iodo-propylamine,linear-heteroatom-I,monoammonium,-1,3-iodopropylammonium
21440816,4-iodo-butylamine,linear-heteroatom-I,monoammonium,23203515,4-Iodobutylazanium
86056440,5-iodo-pentylamine,linear-heteroatom-I,monoammonium,148395624,5-Iodopentylazanium
