PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144211407,91754,Active,100
2,170464668,457193,Active,100
3,170465087,387447,Active,99
4,144207595,3068143,Active,92
5,144211355,86354,Active,91
6,144208873,12688,Active,90
7,170466878,11556711,Active,90
9,170465615,9577124,Active,89
11,144209798,16682804,Active,88
12,144208795,235227,Active,88
13,170465048,30323,Active,87
14,170465705,10219,Active,87
16,170466414,9910986,Active,87
17,144209821,2734225,Active,86
18,170465137,60699,Active,86
19,144213707,16682834,Active,85
20,170465590,11969781,Active,85
21,144209828,23160059,Active,84
22,144211853,75444,Active,83
23,144208357,62770,Active,83
24,144207774,3015167,Active,82
25,144209827,46226173,Active,82
26,144208824,15096,Active,82
27,144212799,16682953,Active,81
28,144211636,4778,Active,81
29,144207512,6439929,Active,80
30,144209820,22078297,Active,80
31,144209677,177,Active,80
32,170464627,636362,Active,80
33,144213954,6197,Active,80
34,144207461,26633,Active,80
36,144212248,31315,Active,79
37,144211906,4493,Active,79
39,144214033,3117,Active,79
40,144209978,472181,Active,78
42,144210821,8722,Active,78
44,170466074,5709754,Active,77
45,144212158,55245,Active,77
46,144209830,16211417,Active,77
47,170466778,13118,Active,77
48,144209858,2734229,Active,77
49,170466798,8269,Active,77
50,144207948,16212610,Active,76
51,144211556,62379,Active,76
52,144208226,2734117,Active,76
53,170465712,2724411,Active,76
55,144209681,443939,Active,76
56,144208402,91649,Active,76
57,144209367,3397,Active,75
58,144208960,11057,Active,75
59,144209207,9889168,Active,75
60,170465822,11296583,Active,75
61,170464983,5991,Active,75
62,144213211,11933,Active,75
63,144207756,84677,Active,75
65,170465183,51082,Active,74
66,144212551,6857648,Active,74
68,144209856,60196379,Active,74
69,144208460,68570,Active,74
72,144209845,18506491,Active,73
73,144211179,15910,Active,73
74,144208007,16218822,Active,73
75,144209910,60196397,Active,73
76,144212404,6099,Active,73
77,144211228,86298,Active,73
78,144211223,31200,Active,73
80,144211418,39676,Active,73
83,144207798,2734231,Active,72
84,144211195,7511,Active,72
85,144209836,53316406,Active,72
86,170465357,6291,Active,72
88,144207536,2391,Active,72
89,144211364,213016,Active,71
90,144207923,3378440,Active,71
92,144207569,7589,Active,71
93,144209846,60196375,Active,71
95,144213657,60196435,Active,71
96,170465669,2194,Active,71
97,170465000,5280360,Active,71
100,144209299,8152,Active,70
101,144212002,62556,Active,70
102,144210756,9935274,Active,70
103,144213748,8816,Active,70
105,144209086,8400,Active,70
106,144209825,2775940,Active,70
107,144207546,12456,Active,70
108,144209723,104827,Active,70
110,170465807,5756,Active,70
111,144209716,6450278,Active,70
112,144209111,36242,Active,70
113,170465211,13765,Active,70
114,170465104,9051,Active,70
98,144211225,20708,Active,70
115,144211141,11048796,Active,69
116,144213650,13271,Active,69
117,144209850,24944555,Active,69
118,170466382,13764,Active,69
119,144207895,11375816,Active,69
120,144209811,16217238,Active,69
121,170465984,5284486,Active,69
122,144213953,5870,Active,69
124,170466473,65620,Active,68
125,144212722,18771,Active,68
126,144212517,77328,Active,68
127,144211366,86398,Active,68
128,144211559,87323,Active,68
129,170465803,5702220,Active,68
131,144213228,27465,Active,68
133,144207752,6620,Active,67
134,170466836,17693,Active,67
135,144211118,17038,Active,67
136,170465687,6084,Active,67
137,144208086,7120,Active,67
138,144207326,5364713,Active,67
139,144208401,2999413,Active,67
140,170464853,135398737,Active,67
141,144209222,19042,Active,67
142,144211613,31239,Active,67
143,144210973,76302,Active,67
144,170466298,70882,Active,67
145,170466725,10308,Active,67
146,144212912,75547,Active,67
147,144213865,56069,Active,67
150,170465226,9556529,Active,66
151,144213703,68589,Active,66
152,170466835,6918454,Active,66
153,170465054,9046,Active,66
154,170466791,656641,Active,66
155,144209893,15927,Active,66
156,144212515,21218,Active,66
157,144209781,16682736,Active,66
159,144213302,9444,Active,66
161,144210596,15787,Active,66
162,144207918,8407,Active,66
163,144206942,92877,Active,66
164,144211795,79688,Active,66
167,144213602,7050,Active,66
168,170466523,9849425,Active,65
170,170466728,3019305,Active,65
171,170466489,243274,Active,65
172,170465926,33611,Active,65
173,144212847,94398,Active,65
174,170466454,68186,Active,65
175,144208750,7327,Active,65
176,170465856,5265,Active,65
177,144213843,517000,Active,65
178,170465558,8955,Active,65
179,170464810,64139,Active,65
180,144212397,8272,Active,65
182,144210131,11309,Active,65
183,170465614,5881,Active,65
184,144209988,12447,Active,65
185,144207667,7112,Active,65
187,144212471,5833,Active,65
188,144208408,79717,Active,64
190,144213718,10345790,Active,64
191,144211431,3352,Active,64
192,170465343,5482,Active,64
193,170466012,3760,Active,64
194,144211410,10403199,Active,64
195,144211686,8753,Active,64
196,144214048,3034285,Active,64
197,170465084,2722,Active,64
198,144209686,8478,Active,64
199,144209742,5590,Active,64
200,144212231,22094,Active,64
201,170465990,3316,Active,64
202,144209368,27423,Active,64
203,144208171,17570,Active,64
204,144212384,14250,Active,64
205,144213061,57363,Active,64
206,144210592,61253,Active,64
207,144212433,26030,Active,64
208,144214007,8425,Active,64
209,144214017,11818,Active,64
210,170466691,14589,Active,64
211,144213115,108938,Active,64
212,144210598,8413,Active,64
214,144207264,21694,Active,64
216,144207919,9158,Active,64
217,144211851,6867,Active,64
218,144213051,7103,Active,64
220,251919665,87293,Active,64
221,144214008,86233,Active,64
222,144207908,2336,Active,64
224,144206329,92140,Active,63
225,144212716,47936,Active,63
226,144207336,16659,Active,63
227,144207299,2734247,Active,63
228,144211763,14842,Active,63
229,144214040,5564,Active,63
230,144211526,51605,Active,63
231,144208159,7329,Active,63
232,170465625,10113978,Active,63
233,144209768,8755,Active,63
235,144211315,4130,Active,63
236,170464719,22571,Active,63
237,144206804,3003141,Active,63
238,144210190,6623,Active,63
240,144212468,8507,Active,63
241,144214002,7594,Active,63
242,251919827,608116,Active,63
243,144213822,75576,Active,63
244,170464849,3333,Active,63
248,144212576,91677,Active,63
252,144213986,11767,Active,63
254,144211589,66573,Active,63
255,144209508,73852,Active,63
256,144210104,17279,Active,63
258,170466256,65399,Active,63
259,170466897,135565635,Active,62
260,144212814,86211,Active,62
261,144210634,62311,Active,62
262,144207950,12036651,Active,62
264,144208749,37175,Active,62
265,144208682,73675,Active,62
