CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,8.995226,-7.4611354
6329,CN,Existing,9.063811,-7.4579763
6341,CCN,Existing,9.607071,-7.8652644
7852,CCCN,Existing,9.96022,-8.298642
8007,CCCCN,Existing,10.637298,-8.623296
8060,CCCCCN,Existing,10.7280445,-8.239168
8102,CCCCCCN,Existing,11.151689,-8.536594
8127,CCCCCCCN,Existing,11.232685,-8.593283
8143,CCCCCCCCN,Existing,11.332799,-8.564621
16215,CCCCCCCCCN,Existing,11.076124,-8.570579
8916,CCCCCCCCCCN,Existing,11.063491,-8.381564
13583,CCCCCCCCCCCCN,Existing,10.970086,-8.683417
16217,CCCCCCCCCCCCCCN,Existing,11.198224,-8.409163
8926,CCCCCCCCCCCCCCCCN,Existing,11.248449,-8.292147
15793,CCCCCCCCCCCCCCCCCCN,Existing,11.067237,-8.518783
6363,CC(C)N,Existing,9.132489,-6.829427
24874,CCC(C)N,Existing,9.544831,-6.828598
6558,CC(C)CN,Existing,10.547045,-6.961265
5603,CCCCCC(C)N,Existing,9.684257,-6.214591
7719,CCCCC(CC)CN,Existing,10.766072,-6.822995
7853,C=CCN,Existing,10.967009,-6.6100774
10034574,C#CCCN,Existing,11.044502,-7.994561
155569865,CCCCC#CC#CCCN,Existing,10.778343,-7.57584
674,CNC,Existing,9.348665,-7.4287267
1146,CN(C)C,Existing,9.179887,-7.6377263
9321,NN,Existing,9.010566,-7.5503726
6061,CNN,Existing,9.189192,-7.8680754
67171,CC(=N)N,Existing,9.579234,-7.265283
1647,N#CCCN,Existing,10.870302,-8.485864
3520,N=C(N)N,Existing,9.536957,-7.391736
68047,N=CN,Existing,9.437602,-7.5995884
5142,CSC(=N)N,Existing,10.240438,-5.1891427
239,NCCC(=O)O,Existing,11.42487,-7.8303313
119,NCCCC(=O)O,Existing,11.3893385,-7.621913
138,NCCCCC(=O)O,Existing,11.532065,-7.5601454
787,NO,Existing,9.135619,-7.5325146
700,NCCO,Existing,10.529338,-7.775076
9086,NCCCO,Existing,11.009509,-7.971831
25868,NCCCCO,Existing,11.246646,-7.955331
75634,NCCCCCO,Existing,11.285325,-7.850083
19960,NCCCCCCO,Existing,11.550973,-7.700614
13306451,NCCI,Existing,10.517734,-7.463454
21194665,NCCCI,Existing,10.716369,-7.732193
21440816,NCCCCI,Existing,11.231851,-7.81268
86056440,NCCCCCI,Existing,11.156796,-7.7773075
13406458,NCCCCCCI,Existing,10.979728,-7.654964
7851,NCCBr,Existing,10.341781,-8.001739
13369,NCCCl,Existing,10.270022,-7.1583667
9996,NCCF,Existing,10.463932,-8.288166
136274,NCC(F)F,Existing,10.509932,-8.077341
9773,NCC(F)(F)F,Existing,10.569885,-7.9168124
69828,NC1CC1,Existing,9.178395,-6.807202
75645,NC1CCC1,Existing,9.303729,-6.434376
2906,NC1CCCC1,Existing,9.07554,-6.360028
7965,NC1CCCCC1,Existing,9.218699,-6.4467254
2899,NC1CCCCCC1,Existing,9.22762,-6.462992
2903,NC1CCCCCCC1,Existing,9.248103,-6.375239
76688,NCC1CCCCC1,Existing,10.326827,-6.614242
20509,NCCC1CCCCC1,Existing,11.0068,-7.391858
76938,NCCC1=CCCCC1,Existing,11.287882,-5.1345816
419223,NC1CCOCC1,Existing,9.751348,-5.3811693
129866010,CC1CC(ON)OC1C,Existing,11.453404,-4.187398
3847030,NC1CCC(F)(F)CC1,Existing,10.01952,-5.4386473
10422,C1CNC1,Existing,11.905651,-6.7014422
8082,C1CCNCC1,Existing,12.045506,-6.2734394
66059,C1=CCNC1,Existing,11.513471,-6.1447554
52911246,FC1CCCNCC1,Existing,12.314052,-5.7574964
2758352,FC1(F)CCNCC1,Existing,12.01081,-5.839068
7504,NCc1ccccc1,Existing,9.203311,-2.4488816
66035,Cc1ccc(CN)cc1,Existing,9.463628,-2.175193
7515,CNc1ccccc1,Existing,11.284358,-2.8593366
1001,NCCc1ccccc1,Existing,8.761019,-3.5813904
7408,CC(N)c1ccccc1,Existing,9.524902,-1.3633934
643189,CC(N)c1ccccc1,Existing,9.545571,-1.3239164
75818,CC(N)c1ccccc1,Existing,9.572294,-1.2955704
76751,Cc1ccc(CCN)cc1,Existing,8.837544,-3.4447103
1547949,CC(CN)c1ccccc1,Existing,9.045586,-4.515455
1547950,CC(CN)c1ccccc1,Existing,9.129883,-4.518718
414329,Cc1cc(C)cc(CCN)c1,Existing,8.809143,-3.5776057
16259,NCCCc1ccccc1,Existing,9.7261715,-4.5722904
83242,NCCCCc1ccccc1,Existing,9.640571,-4.419069
137282,NCc1ccc2ccccc2c1,Existing,9.885648,-2.681728
98089,CC(N)c1cccc2ccccc12,Existing,10.261229,-2.229608
66325,CC(N)c1cccc2ccccc12,Existing,10.324669,-2.0824447
2724264,CC(N)c1cccc2ccccc12,Existing,10.346272,-2.1932921
3784378,NCCc1ccc2ccccc2c1,Existing,9.554846,-3.4138343
7102,Nc1ccc(-c2ccccc2)cc1,Existing,11.627711,-1.5135996
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,8.966583,-3.5236976
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,11.266329,-4.173862
34005,NCc1cccs1,Existing,10.885835,-4.1453347
116521,NCCc1cccs1,Existing,10.725619,-3.9692566
22250,CNc1ccc(OC)cc1,Existing,11.495763,-2.9798012
4657,COc1ccc(CCN)cc1,Existing,9.491455,-3.5117536
7807,Nc1ccc(Br)cc1,Existing,10.9382105,-1.9608494
77571,NCc1ccc(Br)cc1,Existing,9.716836,-2.4805737
457588,CNCc1cccc(Br)c1,Existing,10.591907,-3.3578072
2734091,NCCc1ccccc1Br,Existing,9.602207,-3.732931
533915,NCCc1ccc(Br)cc1,Existing,9.150029,-3.3342113
18509414,NCCc1cc(Br)cc(Br)c1,Existing,9.395004,-3.4292672
7812,Nc1ccc(Cl)cc1,Existing,10.913309,-1.0432463
66036,NCc1ccc(Cl)cc1,Existing,9.469939,-2.2158406
122721,CNCc1cccc(Cl)c1,Existing,10.307407,-3.312679
83117,NCCc1ccccc1Cl,Existing,9.258673,-4.17835
67430,NCCc1ccc(Cl)cc1,Existing,9.176787,-3.4675965
15670830,NCCc1cc(Cl)cc(Cl)c1,Existing,8.872318,-3.658082
97803,CC(N)c1ccc(Cl)cc1,Existing,9.641345,-1.467455
1715226,CC(N)c1ccc(Cl)cc1,Existing,9.714867,-1.5439807
1550852,CC(N)c1ccc(Cl)cc1,Existing,9.595507,-1.6227812
2759011,CNc1cccc(F)c1,Existing,11.354688,-3.2028003
68024,CNc1ccc(F)cc1,Existing,11.451892,-3.0385644
