CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,13.257588,12.229364
6329,CN,Existing,13.490866,12.361764
6341,CCN,Existing,14.193505,12.397589
7852,CCCN,Existing,14.734332,13.362194
8007,CCCCN,Existing,15.195932,13.699845
8060,CCCCCN,Existing,15.157095,13.252051
8102,CCCCCCN,Existing,15.668671,13.737163
8127,CCCCCCCN,Existing,16.277933,13.647943
8143,CCCCCCCCN,Existing,15.9183655,13.742715
16215,CCCCCCCCCN,Existing,16.224365,13.514681
8916,CCCCCCCCCCN,Existing,15.898944,13.433673
13583,CCCCCCCCCCCCN,Existing,15.756723,13.626657
16217,CCCCCCCCCCCCCCN,Existing,16.074293,13.303406
8926,CCCCCCCCCCCCCCCCN,Existing,16.160273,13.495105
15793,CCCCCCCCCCCCCCCCCCN,Existing,16.324093,13.184116
6363,CC(C)N,Existing,12.322292,12.588402
24874,CCC(C)N,Existing,12.431487,12.984029
6558,CC(C)CN,Existing,15.180815,10.936365
5603,CCCCCC(C)N,Existing,12.926118,13.253641
7719,CCCCC(CC)CN,Existing,14.972622,10.46259
7853,C=CCN,Existing,14.164709,10.580968
10034574,C#CCCN,Existing,15.820972,12.591054
155569865,CCCCC#CC#CCCN,Existing,15.09001,12.0122
674,CNC,Existing,13.329875,11.958151
1146,CN(C)C,Existing,13.383286,12.328263
9321,NN,Existing,13.2176,12.096421
6061,CNN,Existing,13.5265,12.656115
67171,CC(=N)N,Existing,13.293381,12.97132
1647,N#CCCN,Existing,16.290386,13.260509
3520,N=C(N)N,Existing,13.742907,12.635994
68047,N=CN,Existing,13.731818,12.837678
5142,CSC(=N)N,Existing,12.471752,9.050971
239,NCCC(=O)O,Existing,14.591182,11.580821
119,NCCCC(=O)O,Existing,14.659506,11.082858
138,NCCCCC(=O)O,Existing,14.5870695,10.995087
787,NO,Existing,13.442314,12.357978
700,NCCO,Existing,15.293908,12.218042
9086,NCCCO,Existing,15.456376,12.7395315
25868,NCCCCO,Existing,15.704784,12.48639
75634,NCCCCCO,Existing,15.7540655,12.274721
19960,NCCCCCCO,Existing,15.613912,12.418173
13306451,NCCI,Existing,16.307447,12.26675
21194665,NCCCI,Existing,16.222284,12.336915
21440816,NCCCCI,Existing,16.48767,12.908882
86056440,NCCCCCI,Existing,16.349869,12.750347
13406458,NCCCCCCI,Existing,16.250645,12.670911
7851,NCCBr,Existing,15.270462,12.360097
13369,NCCCl,Existing,14.100755,11.486898
9996,NCCF,Existing,14.814501,12.73357
136274,NCC(F)F,Existing,14.795983,12.426591
9773,NCC(F)(F)F,Existing,15.057807,11.798474
69828,NC1CC1,Existing,12.281849,12.793678
75645,NC1CCC1,Existing,11.687584,12.785053
2906,NC1CCCC1,Existing,11.25088,12.601323
7965,NC1CCCCC1,Existing,11.512979,12.406516
2899,NC1CCCCCC1,Existing,11.2832365,12.421686
2903,NC1CCCCCCC1,Existing,11.407535,12.718702
76688,NCC1CCCCC1,Existing,15.174341,10.166348
20509,NCCC1CCCCC1,Existing,15.370956,11.30403
76938,NCCC1=CCCCC1,Existing,12.631918,8.887294
419223,NC1CCOCC1,Existing,10.401031,11.401298
129866010,CC1CC(ON)OC1C,Existing,11.930699,7.8478565
3847030,NC1CCC(F)(F)CC1,Existing,10.880017,11.273064
10422,C1CNC1,Existing,13.482129,10.857134
8082,C1CCNCC1,Existing,13.613456,9.756112
66059,C1=CCNC1,Existing,13.468025,9.953447
52911246,FC1CCCNCC1,Existing,13.549197,8.933937
2758352,FC1(F)CCNCC1,Existing,13.7392025,9.308713
7504,NCc1ccccc1,Existing,7.367274,8.496068
66035,Cc1ccc(CN)cc1,Existing,7.6727653,8.524563
7515,CNc1ccccc1,Existing,10.424899,7.661059
